x,y,time,hab0,hab1,hab2,hab3,hab4,hab5,strDist
176,67,228.52278,0,0,0,0,0,1,-0.912042415
176,65,229.01167,0,0,0,0,0,1,-1.018958349
176,65,229.51833,0,0,0,0,0,1,-1.028523132
175,66,230.015,0,0,0,0,0,1,-0.970086237
177,66,230.51556,0,0,0,0,0,1,-0.977554629
174,65,231.02222,0,0,0,0,0,1,-1.073988609
167,68,232.53361,0,0,0,0,0,1,-1.10687574
170,75,234.50972,0,0,0,0,0,1,-0.601121446
167,73,242.52667,0,0,0,0,0,1,-0.883610114
163,74,243.01722,0,0,0,0,0,1,-1.036515622
160,75,243.52889,0,0,0,0,0,1,-1.067830461
160,76,244.50611,0,0,0,0,0,1,-1.117095646
160,77,248.01528,0,0,0,0,0,1,-1.117357695
160,76,248.52472,0,0,0,0,0,1,-1.112509791
161,78,249.01861,0,0,0,0,0,1,-0.971920579
159,76,249.51861,0,0,0,0,0,1,-1.087222076
157,73,250.01306,0,0,0,0,0,1,-1.096393786
157,72,251.52667,0,0,0,0,0,1,-1.099014275
157,73,254.51861,0,0,0,0,0,1,-1.047259625
158,69,255.01167,0,0,0,0,0,1,-1.086173881
159,69,255.53667,0,0,0,0,0,1,-1.06337563
158,72,260.01917,0,0,0,0,0,1,-1.042542746
158,74,260.52833,0,0,0,0,0,1,-1.107923936
157,80,261.01278,0,0,0,0,0,1,-1.081588026
161,79,261.51139,0,0,0,0,0,1,-0.90064329
164,71,265.54167,0,0,0,0,0,1,-1.016075811
168,66,266.02,0,0,0,0,0,1,-1.009786639
173,65,266.52361,0,0,0,0,0,1,-1.11486823
175,67,267.01833,0,0,0,0,0,1,-0.897367679
176,66,267.51944,0,0,0,0,0,1,-0.935233739
176,67,270.04444,0,0,0,0,0,1,-0.879286308
176,66,271.01889,0,0,0,0,0,1,-0.99236039
175,65,271.54417,0,0,0,0,0,1,-1.049224992
176,64,272.01028,0,0,0,0,0,1,-1.103207056
178,64,272.50417,0,0,0,0,0,1,-1.107530862
177,64,273.01861,0,0,0,0,0,1,-1.104255252
177,64,273.52278,0,0,0,0,0,1,-1.11486823
175,65,275.52861,0,0,0,0,0,1,-1.049880114
170,67,276.01889,0,0,0,0,0,1,-1.055776213
170,68,276.51444,0,0,0,0,0,1,-1.021447813
169,68,278.01833,0,0,0,0,0,1,-1.024985472
167,67,278.515,0,0,0,0,0,1,-1.057348506
162,70,279.04361,0,0,0,0,0,1,-1.045687332
161,70,279.51861,0,0,0,0,0,1,-0.976637458
150,68,282.55,0,0,0,0,0,1,-0.392530555
156,64,287.55,0,0,0,0,0,1,-0.603741934
181,62,299.5425,0,0,0,0,0,1,-0.871293818
187,63,300.02,0,0,0,0,0,1,-1.086173881
189,64,300.51833,0,0,0,0,0,1,-1.116964621
189,64,301.03056,0,0,0,0,0,1,-1.042280697
188,64,301.51583,0,0,0,0,0,1,-1.075822951
188,65,302.00556,0,0,0,0,0,1,-0.997732391
179,67,303.02556,0,0,0,0,0,1,-0.882823967
175,65,310.51694,0,0,0,0,0,1,-1.088401296
170,68,311.54444,0,0,0,0,0,1,-1.063637679
170,69,313.535,0,0,0,0,0,1,-0.95776994
170,70,314.03444,0,0,0,0,0,1,-0.875093526
171,72,324.05,0,0,0,0,0,1,-0.729132312
171,70,324.51,0,0,0,0,0,1,-0.842468443
171,68,325.01833,0,0,0,0,0,1,-0.981354338
169,71,325.51472,0,0,0,0,0,1,-0.886623676
169,71,326.01833,0,0,0,0,0,1,-0.889506213
166,70,327.00917,0,0,0,0,0,1,-1.090759736
173,66,328.04833,0,0,0,0,0,1,-1.072023242
177,66,328.50944,0,0,0,0,0,1,-0.948860279
182,64,329.01611,0,0,0,0,0,1,-1.065865094
188,60,329.51278,0,0,0,0,0,1,-0.814167167
190,57,330.54639,0,0,0,1,0,0,-0.561683093
